news title,news publisher,news writer,news content,news date,news category,news link
加快5G新基建 打造产业融合生态圈 ——市区分公司助力狮山商务创新区5G产业园规划,发布人: 别广思,撰稿人:,   7月14日，在市区分公司精心组织和上海联通全力协助下，高新区管委会副主任、虎丘区副区长、狮山横塘街道党工委书记虞美华一行赴上海张江人工智能岛考察交流活动，市区分公司总经理钟珂烨等陪同参加。   张江人工智能岛是中国联通依托5G+AI技术打造的全场景应用示范体验中心，从底层服务到上层应用的打通和数据整合服务，包括基于5G+AI的综合应用指挥平台、科创孵化平台等。以人工智能岛为主轴，集聚了AI、大数据、云计算、区块链、VR/AR等数字产业项目，将技术和应用扩散至整个岛，并与其他产业交叉融合，为园区管理、企业服务、智慧场景体验等各方面带来新的技术革命。   虞书记一行现场参观体验了园内5G智能化停机坪、5G智慧路灯杆、5G无人美食车、网红智能分类垃圾桶，随后来到中国联通位于张江人工智能岛的5G+AI实验室，听取人工智能前沿科技在各领域应用介绍、智慧园区项目汇报，双方就新时代营商环境下产业园融合生态圈进行了深入交流和探讨。虞书记对上海张江人工智能岛的5G智能化建设给予了极大的肯定，她表示本次考察为狮山商务创新区总部园科技创新、服务企业、产业规划、开放发展等领域收获了先进做法，为高标准建设狮山商务创新区积累了经验，同时她也对苏州联通在高新区5G规划中做出的贡献表示感谢。    志存高远、干字当头，市区分公司将进一步加强与高新区政府的交流，持续推动并参与高新区5G新基建、智慧城市、智慧园区的推进，跟着政府做项目，强化责任担当，力争政企业务新突破！ 市区分公司 杨淼,"周三, 07/15/2020 - 09:18",新闻类别:,/node/122
常熟联通举办总经理与青年员工座谈会,发布人: 冯丹妍,撰稿人:,7月15日下午，常熟联通在分公司311会议室举办总经理与青年员工座谈会，分公司总经理、支部书记陈军，政企业务总监、支部委员、工会主席郭一，公众业务总监、支部委员张志伟，综合部经理，综合网格营销部经理，党工团代表及相关人员参加了座谈会。座谈会上，来自各条线，各个岗位的2017-2019新进员工就入职以来的工作体会与收获，对公司及经营发展的建议和意见做了逐一发言。参会领导就大家提出的问题进行了现场解答。公众业务总监、支部委员张志伟根据自身工作经验，与青年员工交心谈心，要求青年员工保持好心态，不断学习，积极提升锻炼自我。最后，公司党支部书记、总经理陈军向参会的青年员工提出了要求和希望。一是平时有问题要及时向上级及公司反馈。二是青年员工正处于个人的黄金时期，要在各自岗位上做出特色，提升专业度和深度，将“快细真盯”工作要求和“五步法”落实到工作中，提振精气神，努力奋斗。三是公司正处于全面互联网化转型阶段，青年员工要珍惜公司平台优势，提高交际、打单、处事等能力，在校园攻坚市场同心协力，努力争先创优，实现个人价值与公司效益双提升。座谈会后，公众业务总监、支部委员张志伟为参加座谈会的青年员工们送上了公司工会精选的图书，鼓励大家多读书，不断成长进步。后续，常熟分公司将紧紧围绕“重基础、强队伍、谋发展”，加强对广大青年员工的关爱与培养，努力打造一支“有竞争力，有冲劲，有梦想”的青年员工队伍，为公司奋斗再出发贡献力量！作者：常熟分公司 冯丹妍,"周四, 07/16/2020 - 10:38",新闻类别:,/node/138
助力高考，第十年—吴江联通开展助力高考送清凉活动,发布人: 李乃娟,撰稿人:, 为给广大考生、家长提供贴心服务，7月7日、8日、9日清晨，吴江联通的党团员早早地来到考场外搭建帐篷，设置家长休息区，以便考生家长休息，同时免费发放矿泉水、清凉油等防暑降温物品，为考场外的家长们送去一份关爱。 自2011年以来，吴江联通已经连续十年组织青年员工来到高考考点，为考生和候考家长送去等物品，以实际行动关怀考生、候考家长，切实履行国企社会责任。,"周四, 07/16/2020 - 15:06",新闻类别:,/node/140
吴江分公司召开7月第二周周例会,发布人: 李乃娟,撰稿人:, 7月13日晚市分周例会后，吴江分公司召开7月第2周周例会，对市分周例会精神再宣贯、再布置，领导班子、各部门和各网格/片区长参加了会议。 会上，各条线汇报了本月重点指标完成情况，对短板进行分析讨论，分管领导结合市公司要求布置下周重点工作：2C市场需围绕正计划推进各项工作，关注金融、智家、5G规模及价值提升，强化门店基础管理，做好门店防汛和用电安全；2B市场需重点关注楼宇与双线收入，加快大项目签约与计收，做好高考志愿填报直播引流工作；网络中心需做好计划，提升短板，有效推进四号工程各子项指标落地。 最后徐瑾总经理强调校园发展是7月份工作的重中之重，校园责任人要抢抓关键时点落实学校的再次拜访，推进良好客情关系的建立，加快校企合作协议签约，吴江分公司全员要上下一心，同力协契，全力以赴打好校园攻坚战，为正计划保质保量达成赋能！,"周四, 07/16/2020 - 15:34",新闻类别:,/node/143
苏州联通小燕助力市职工网络安全知识竞赛,发布人: 徐可,撰稿人:, “没有网络安全就没有国家安全，没有信息化就没有现代化”。为深入贯彻习近平总书记关于网络安全和信息化工作重要论述，苏州市委网信办、苏州市总工会联合中国联通苏州市分公司举办了2020年“联通小燕杯”苏州职工网络安全知识竞赛，在经过50余天的激烈角逐后，于7月17日下午在苏州第二工人文化宫圆满收官。 本次竞赛通过线上答题和线下竞赛的方式开展。在5月底开始的线上答题过程中，共有1万余名职工积极参与，同时根据答题情况，产生了10支获得线下现场竞赛“入场券”的优秀队伍。 7月17日，来自苏州各区市、各企业的10支代表队在现场进行激烈PK。赛场上选手们反应迅速、自信满满、对答如流。最终，来自苏州半导体总厂有限公司的叶新志获得一等奖，太仓市城厢镇第一小学的陈支玲、苏州联通公司的袁天华获得二等奖，太仓市朱棣文小学的许婷、昆山市淀山湖中心小学校的张诗瑀和徐晓青、三星电子（苏州）半导体有限公司的王曼、苏州松下半导体有限公司的梁龙凤获三等奖。太仓队、昆山尚美队、工业园区队、高新区队、姑苏区队、苏州西门子电器有限公司队、苏州松下半导体有限公司队、佳能（苏州）有限公司队、苏州联通公司队、工芸冲压（苏州）有限公司队等10支队伍荣获优秀组织奖。 中国联通苏州市分公司不仅为本次活动提供了技术保障、宣传推广、疫情防控等方面的支持，还运用了“小燕直播”平台对17日当天线下竞赛进行了直播，与5.3万线上用户积极互动，进一步增强了广大市民的网络安全意识，受到了活动组织方与参与选手的好评 。 今后中国联通苏州市分公司将进一步发挥自身优势，履行央企社会责任，体现运营商在网络安全工作中的担当，进一步推动社会各界共同织密网络安全防护网。,"周一, 07/20/2020 - 10:22",新闻类别:,/node/147
闻令而动  向险而行，张家港联通扛起防汛救灾“硬核”责任,发布人: 陈莹,撰稿人:,  今年入梅以来，张家港市连遇多次强降雨过程，截至7月21日08时，平均梅雨量654.3毫米，居历史第三高位。目前，受长江1号洪峰过境影响，长江最高潮位已达到6.31米，短时超过警戒水位，市内主河道张家港河最高水位持续上升，经历昨日暴雨后也已漫过堤坝，河边的港口基站受汛情影响，院内积水严重，情况十分危急。  灾情就是考验，汛情就是命令。张家港党支部向全体党员发起“红色动员令”，要求人人树立“防大汛、抢大险、抗大灾”思想，积极发挥战斗堡垒作用。领导班子靠前指挥，迅速启动防汛应急预案，成立以党员带头的抢险通信小组，加快应急响应。经过一天的奋斗，在各专业紧密配合、团结协作下，终于完成了港口基站院内积水的排出。目前张家港河水位已恢复至警戒水位以下，汛情警报暂时解除。  早在6月，随着进入汛期，张家港联通已积极投入基站防汛的战略部署，多次组织应急安全的培训和演练，提高员工处理突发问题的能力；动力、资源专业加强对机房的巡检，确保机房附近环境稳定；数据专业加强对汇聚层设备的检查优化，保证设备稳定运行，避免群发故障的发生；线路专业加强对重要管道光缆线路的优化整改，把汛情对光缆线路的影响降到最低；全专业加强值班值守，提高服务意识，确保优质高效的处理问题。 “守土有责、守土担责、守土尽责”，张家港联通党支部在上级公司党委的统一领导下，坚决落实防汛抗灾部署要求，闻令而动、向险而行，扛起防汛救灾“硬核”责任，组织党员群众全力以赴投入防汛一线，全力以赴保障市汛期内通信畅通。 作者： 张家港分公司 倪天立,"周三, 07/22/2020 - 09:03",新闻类别:,/node/149
交流碰撞火花——张家港联通携手市城管局开展垃圾分类分享会,发布人: 陈莹,撰稿人:, 7月21日，为了更好地开展垃圾分类工作，由张家港市城市管理局垃圾分类办牵头，组织市梁丰中学老师和学生代表到张家港联通进行了参观交流。    活动现场，通过培训师刘海东的讲解，大家一起从生活中常见的垃圾分类问题入手，由浅入深，详细学习了智能垃圾分类系统流程、平台功能、智能垃圾分类主要设备、成功案例等内容。通过介绍5G网络覆盖和智能化改造，实现垃圾称重、定时开关、满溢提醒、人脸识别投递等功能，加深了对智能垃圾分类的认识。会上，智能化垃圾分类也引起了老师和同学们的共鸣，大家分享着自己身边关于垃圾分类的故事，结合生活中遇到的问题进行了探讨，现场气氛热烈。  “问渠那得清如许，为有源头活水来”。张家港联通将联合城管局积极开展智能化垃圾分类宣传，发挥“走在前、当标杆、作表率”的工作作风，同时利用信息化优势，推进 “智能化垃圾分类”建设，为全面推进数字化转型助力。 ,"周四, 07/23/2020 - 14:00",新闻类别:,/node/152
助力全国文明城市创建，昆山联通在行动,发布人: 陆群芳,撰稿人:, 今年是昆山市争创全国文明城市的决战之年，近日，昆山联通积极响应昆山市政府的号召，统一思想，全面部署，迅速行动，撸起袖子加油干，多措并举助力昆山市全国文明城市创建活动。 炎炎夏日，穿上红马甲的联通党员、团员志愿者们走入昆山市西塘街、西塘街下塘及康居路包干区，劝导有车人士文明用车、停车，引导行人走斑马线；协助环卫工人清理花坛、人行道等地方的果皮纸屑、烟头垃圾等各项工作。同时，志愿者们积极向街边商铺和社区群众进行文明宣传指导，鼓励引导群众积极参与“文创”，全力提升昆山市全国文明城市创建工作的知晓率、满意度和参与率。 文明是城市最美的风景，昆山联通将以主人翁的使命感和责任感，助力昆山市争创全国文明城市，做文明创建的“引导人”。,"周四, 07/23/2020 - 16:59",新闻类别:,/node/153
奋斗再出发，责任第一，开足马力，奋勇争先——苏州市分公司召开2020年年中工作会议暨企务公开发布会,发布人: 徐可,撰稿人:, 7月22日，苏州市分公司召开2020年年中工作会议暨企务公开发布会，传达省分公司年中会议精神，总结上半年工作、复盘526奋斗再出发推进情况，并部署下阶段工作。市分公司领导班子、中层干部、网格经理、受表彰人员、职工代表等130余人参会。首先，宋成军总经理再次传达了省分公司方一明书记《统一思想 抢抓机遇 开足马力 奋勇争先 以数字化转型开启江苏联通高质量发展新三年》的专题党课精神，要求全体干部员工牢固树立强烈的责任意识，统一思想，达成共识，统一行动，完成任务，奋斗再出发，开足马力，奋勇争先，决战7-8-9，决胜10-11-12，以数字化转型开启苏州联通高质量发展的新三年！ 随后，宋成军总经理对上半年工作及526“奋斗再出发”工作进展进行复盘指出：收入全国排位14超过长沙，利润排位12超过西安，利润率排位12超过杭州，月度收入连续3个月稳步增长、利润贡献继续大步进位，检视出团队士气高涨，员工在状态、敢拼搏、不服输、能打仗。 公司领导、各级管理人员、全体员工都在以时不我待的紧迫感，把失去的时间抢回来，把落下的任务补起来，把发展的节奏拉上来，正在践行奋斗再出发，把工作干起来，把业绩提起来，让员工的薪酬涨起来的承诺。同时，宋成军总经理以问题导向分析了基础业务依然薄弱、产互业务贡献地位不匹配、部分成本占收比仍然偏高、区县市县发展不平衡等经营问题，并围绕“志存高远，干字当头，转变作风、能打胜仗”点评了成本压降、极力分配、督查督办、支撑一线、安全生产等领域中存在的责任担当不够、站位不高、有章不循、“四不”顽疾依然存在等作风问题，并要求在下阶段工作中进行专项整改。宋成军总经理要求，苏州市分公司下阶段要围绕省分公司统一思想、抢抓机遇、开足马力、奋勇争先要求，深入推进五大工程、十项行动、校园攻坚，一是基础业务上稳盘托底精耕细作，全力推进“正计划”，二是产互业务上高举高打开足马力，全力推进“签约计划”，三是基础工作上推进五大建设，打造核心竞争力，全力推进“储备计划”，始终保持奋斗者的本色、奋斗的状态决战7-8-9、决胜10-11-12，高目标牵引、高速度推进、高质量发展，推动苏州联通数字化转型 。  会议期间，苏州市分公司其他分管领导分别就“强基础优流程管理增效”、“5G引领提价值稳大盘”、“政企抢抓机遇提能力签项目”、“网络提质量优感知增效益”、“立足纪检主责主业融入服务中心”进行了总结和部署。市分财务部、办公室、党群部、人力资源部对“奋斗再出发”阶段工作进展进行了通报点评和画像。各区县公司就下半年推进基础业务、产互业务、五大工程、十项行动、校园攻坚等工作举措进行了汇报。 会议还表彰了526以来涌现出的“攻坚克难”个人52名、“奋勇争先”单位6个、“勇于创新”团队2个，发布了暖心工程、综合网站、小燕直播能力。最后，党委书记宋成军与党委班子成员、各单位负责人签订党建和党风廉政建设责任制承诺书。 幸福都是奋斗出来的，只有奋斗的人生才称得上是幸福的人生。苏州市分公司将统一思想，达成共识，统一行动，完成任务，开足马力，奋勇争先，奋斗再出发，决战7-8-9，决胜10-11-12，以数字化转型开启苏州联通高质量发展的新三年！,"周四, 07/23/2020 - 21:00",新闻类别:,/node/156
综合支撑中心学习贯彻7.22年中会议精神,发布人: 窦莹,撰稿人:, 2020年7月23日下午，综合支撑中心召开部门会议，迅速贯彻落实公司7.22年中工作会议精神。 会上，奚敏娟经理详细传达了公司领导提出的“奋斗再出发、责任第一、开足马力、奋勇争先”的会议精神，并结合部门工作，围绕“快、细、真、钉”的四字工作要求以及“创新改变世界”的工作理念，要求找短板、树亮点，围绕推动7.22会议精神部署部门下一步工作和措施。 最后，奚经理要求部门全体员工“统一思想、达成共识、统一行动、完成任务”，在日常工作中践行三个一切，倾听一线声音，主动支撑，用创新的意识和实干的精神，奋勇争先，为全面支撑公司发展发挥更大作用。,"周五, 07/24/2020 - 09:34",新闻类别:,/node/159
